DATE,LONG CORRECT,SHORT CORRECT,NUMBER LONG,NUMBER SHORT,TURNOVER %,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-10-21,45,27,50,50,0.92,328,172
2019-10-22,35,29,50,49,0.9595959595959596,469,227
2019-10-23,39,25,50,50,0.96,433,259
2019-10-24,32,38,50,50,0.93,347,181
2019-10-27,33,22,50,50,0.9,456,177
2019-10-28,35,35,50,50,0.96,462,187
2019-10-29,38,23,50,50,0.91,405,227
2019-10-30,31,37,50,50,0.94,391,236
2019-10-31,35,24,50,49,0.9292929292929293,348,172
2019-11-03,50,16,50,50,0.83,496,238
2019-11-04,46,31,50,50,0.99,544,251
2019-11-05,27,27,50,50,0.93,466,234
2019-11-06,32,25,50,50,0.95,561,302
2019-11-07,20,36,50,50,0.94,335,180
2019-11-10,33,32,50,50,0.92,279,135
2019-11-11,35,35,50,50,0.91,407,186
2019-11-12,27,34,50,50,0.85,367,204
2019-11-13,31,30,50,49,0.8787878787878788,326,140
2019-11-14,33,25,42,50,0.9565217391304348,320,127
2019-11-17,34,18,50,50,0.83,353,185
2019-11-18,34,38,50,50,0.72,343,196
2019-11-19,25,44,50,50,0.93,315,156
2019-11-20,36,28,50,50,0.82,291,171
2019-11-21,23,26,36,50,0.8604651162790697,215,121
2019-11-24,29,19,43,50,1.021505376344086,302,141
2019-11-25,44,17,50,50,0.83,317,116
2019-11-26,38,32,44,50,0.6595744680851063,241,91
2019-11-28,15,26,28,50,0.5641025641025641,162,51
2019-12-01,8,24,14,37,1.411764705882353,298,164
2019-12-02,13,49,31,50,1.0987654320987654,328,212
2019-12-03,40,19,50,50,0.9,281,158
2019-12-04,39,20,50,50,0.9,270,126
2019-12-05,39,30,50,50,0.93,397,182
2019-12-08,42,21,50,50,0.91,258,119
2019-12-09,24,32,50,50,0.91,347,145
2019-12-10,41,34,50,50,0.84,319,151
2019-12-11,40,29,49,50,0.9393939393939394,481,231
2019-12-12,44,20,50,50,0.86,349,144
2019-12-15,40,21,50,50,0.93,388,223
2019-12-16,41,23,50,50,0.97,380,144
2019-12-17,30,23,50,50,0.88,377,131
2019-12-18,33,26,50,50,0.93,303,121
2019-12-19,44,16,50,50,0.82,364,125
2019-12-22,34,20,50,41,0.8681318681318682,284,89
