DATE,LONG CORRECT,SHORT CORRECT,EARNING LONG,INVESTMENT LONG,EARNING SHORT,INVESTMENT SHORT,NUMBER LONG,NUMBER SHORT,TURNOVER %,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-05-08,11,36,62.77929624557,63.070870971674005,62.487700557710006,63.08799962998,50,50,0.91,413,413
2019-05-09,28,17,57.039104592792015,57.064081611633995,77.42100081563201,76.75540022611001,50,50,0.94,442,442
2019-05-10,4,35,73.18015915393198,74.60739885091004,49.32336636066201,49.980065274241994,50,50,0.96,277,277
2019-05-13,26,32,80.73259993553398,80.85399983882805,109.83043964863201,110.63719345330398,50,50,0.82,283,283
2019-05-14,24,24,97.659331369398,97.60245827198203,63.073443597560015,62.809665583374,50,50,0.97,310,310
2019-05-15,40,2,64.749799643758,63.906199804539995,94.51082224846401,92.85536119460801,50,50,0.9,307,307
2019-05-16,21,27,54.003829052450016,54.66901571691199,97.81648026108799,97.97313436984598,50,50,0.83,268,268
2019-05-17,11,33,79.09942317962798,80.81404806137398,105.85061240911793,107.79301426888196,50,50,0.78,267,267
2019-05-20,32,11,93.12470094918999,92.71448342561801,85.97264496087601,85.468392627238,50,50,0.88,252,252
2019-05-21,26,21,83.82850085257998,83.57900006771203,80.83961794614602,80.75013450860601,50,50,0.82,279,279
2019-05-22,12,34,57.42040020705,58.300240031488,104.79044343471801,105.357306957244,50,50,0.85,256,256
2019-05-23,33,26,64.74611310083267,64.35339751049388,105.85171384215201,105.64760625123799,49,50,0.797979797979798,301,301
2019-05-24,25,23,87.73385865590814,87.91415820316323,103.36698074579199,103.71707482814993,49,50,0.8686868686868687,186,186
2019-05-28,9,44,152.82928042172804,153.05214517593396,61.558999724384,62.827600111958006,50,50,0.9,190,190
2019-05-29,20,20,85.84007834434996,86.26316884517799,78.72843641758601,79.209207305902,50,50,0.88,234,234
2019-05-30,16,42,117.43612334679383,119.06367507758978,38.517682023046,39.449488141531994,49,50,0.8888888888888888,239,239
2019-05-31,26,26,54.625466289516,54.47400024891201,86.715061932802,87.403758184912,50,50,0.88,285,285
2019-06-03,41,16,90.17820071339601,89.78719978571,76.22645082950402,76.42683458566799,50,50,0.85,304,304
2019-06-04,42,10,70.05049947977402,69.10461708306802,61.571359810828,60.54771995783198,50,50,0.86,377,377
2019-06-05,22,32,80.05292262316001,80.22696335196,49.80686207533599,50.198075754638005,50,50,0.83,263,263
2019-06-06,33,15,99.00220047593203,99.336463785172,98.48558037996801,97.91099889993599,50,50,0.72,201,201
2019-06-07,41,10,89.14904011965197,87.82190655708403,81.25774035453799,80.07278708696602,50,50,0.71,218,218
2019-06-10,31,16,90.042799668314,88.92960011959399,82.621470079424,81.81546278953799,50,50,0.88,219,219
2019-06-11,12,36,116.40883511066201,118.04065041542003,63.20177105903398,63.949211750036,50,50,0.79,242,242
2019-06-12,31,19,139.605399477484,138.515199108122,63.961050212380016,63.387399830822005,50,50,0.82,232,232
2019-06-13,24,24,76.19740110755,76.37940052926402,103.92397996902405,104.713501195908,50,50,0.86,196,196
2019-06-14,16,29,96.60705037117003,96.778751096724,71.76960046290799,71.88880112170798,50,50,0.78,253,253
2019-06-17,44,14,93.36083251058602,92.50062543928802,115.89132567822804,115.41729239881005,50,50,0.83,211,211
2019-06-18,30,21,65.1607100004,65.41316061675398,121.37783794701201,121.61305608808998,50,50,0.85,240,240
2019-06-19,42,7,79.239545178412,78.18048685550801,94.34100449442599,93.07260373235003,50,50,0.87,199,199
2019-06-20,14,33,107.41865900993403,108.150338404176,86.11585062860603,86.453999041316,50,50,0.84,194,194
2019-06-21,22,27,44.761319890026,44.97039992333,115.38986431598602,115.284949445726,50,50,0.85,135,135
2019-06-24,15,35,122.93046818256005,123.510965409282,69.533168194296,70.07106595278199,50,50,0.88,173,173
2019-06-25,15,29,94.80958465098799,96.13855243563599,107.29573482989798,107.53585325121601,50,50,0.91,228,228
2019-06-26,21,32,78.04165674958773,78.35464372683879,84.93600936568366,85.46351533763266,49,49,0.8061224489795918,270,270
2019-06-27,35,9,91.59397140814288,91.1640713117612,51.87560026348001,51.08124992131601,49,50,0.8181818181818182,207,207
2019-06-28,43,9,115.887467296124,113.70826005696802,79.027650104764,77.7541004324,50,50,0.73,201,201
2019-07-01,16,34,88.02702291012001,88.643629035954,105.368201184268,105.83479981899802,50,50,0.86,267,267
2019-07-02,22,22,104.47534537553604,104.15588299512402,87.68197476624802,87.093484947674,50,50,0.95,249,249
2019-07-03,20,29,42.09239184856401,42.23813920021001,56.789399900437985,56.869399614331996,50,50,0.92,130,130
2019-07-05,26,21,63.52347922086601,63.501877537368,87.60191947460201,87.46679697096202,50,50,0.79,118,118
2019-07-08,8,42,60.828967645162,61.52400281906,72.01421564339799,72.67418360233798,50,50,0.88,241,241
2019-07-09,38,12,98.35289825439804,96.789474902148,66.188260064126,65.24124850749,50,50,0.85,266,266
2019-07-10,19,26,90.982739397286,90.95284691810801,81.73203343629997,81.46226123571198,50,50,0.78,266,266
2019-07-11,22,30,47.02952546596199,47.195098991396,62.612640514371975,62.980936222076,50,50,0.9,274,274
2019-07-12,31,13,87.46513355016599,87.32990524291402,76.07638235092202,75.554033658504,50,50,0.76,216,216
2019-07-15,15,29,112.42159978151399,112.79359967828202,68.70423975944402,69.11945039987802,50,50,0.74,214,214
2019-07-16,25,28,92.323669764996,91.92207204580598,65.293026955128,64.988632469178,50,50,0.74,220,220
2019-07-17,18,30,83.43897674561399,83.79187944650802,80.818743028646,81.70136916875602,50,50,0.79,270,270
2019-07-18,36,18,81.45139924287798,80.718999955666,100.42311750173799,99.63341964722198,50,50,0.76,261,261
2019-07-19,21,26,132.59541758418402,133.48642829775605,103.867285194396,104.718444085126,50,50,0.78,195,195
2019-07-22,28,20,75.86198899030599,75.62348402499799,90.338024306302,89.884473199848,50,50,0.86,235,235
2019-07-23,27,18,134.08649065196207,134.05929900348002,78.544770051832,78.31604003131599,50,50,0.86,407,407
2019-07-24,37,18,84.85398058652801,84.06184275627001,50.22170316695999,50.00010501384399,50,50,0.87,356,356
2019-07-25,21,32,97.60678817748997,96.38641263961802,63.10172030448401,63.59502822875798,50,50,0.77,438,438
2019-07-26,33,16,81.89900104582001,80.82400088846398,76.80165955364798,76.24283030927596,50,50,0.91,396,396
2019-07-29,15,41,80.872451388838,81.59228451967,110.244299182894,112.06195589065601,50,50,0.94,432,432
2019-07-30,36,17,115.023980002402,114.431204295158,72.21386140823199,71.58456315041,50,50,0.82,495,495
2019-07-31,15,26,88.51285077095402,88.560239925386,72.97585543155999,72.47677229880803,50,50,0.84,577,577
2019-08-01,8,41,142.99720013380002,147.40425512313797,82.63037785052398,84.33049622058401,50,50,0.9,616,616
2019-08-02,6,44,59.549600483178,61.153999854326,79.12510293235509,81.03570372839387,50,49,0.9696969696969697,460,460
2019-08-05,20,31,97.94283933639602,98.39336514950197,68.50647108317203,68.577377469542,50,50,0.85,619,619
2019-08-06,18,20,62.33758007169,62.733239828345994,59.90936526299201,59.775045690538015,50,50,0.93,439,439
2019-08-07,38,6,106.753215556142,106.21862706899401,125.35740018368003,122.821700048446,50,50,0.92,592,592
2019-08-08,40,10,74.21708097458,73.23852357864398,96.26959975719402,94.97859901905602,50,50,0.77,476,476
2019-08-09,16,43,84.363793485162,85.942001205686,63.66550878285999,64.87304823636397,50,50,0.79,357,357
2019-08-12,13,39,88.30039934814002,89.083198608158,140.23900102317606,141.43759700655605,50,50,0.82,386,386
2019-08-13,19,27,55.59063651085,55.53945898295,73.166870350834,73.04534486532602,50,50,0.75,501,501
2019-08-14,13,40,66.813619644648,67.50090008736,104.54620090484401,105.55280001402002,50,50,0.56,476,476
2019-08-15,23,21,82.333667211528,81.75933640719197,100.69205017567,99.770920443542,50,50,0.71,336,336
2019-08-16,47,8,42.66758697033001,41.778848342884004,97.18878568173001,95.92224973201601,50,50,0.89,355,355
2019-08-19,27,23,64.06591855883602,64.20807938218002,90.632219343178,90.782404484756,50,50,0.88,342,342
2019-08-20,34,20,84.44539916158003,84.21358950197401,51.63419975639,50.89899009406601,50,50,0.78,243,243
2019-08-21,29,24,49.720899627208,49.236599559784,99.18990089893197,99.175838744648,50,50,0.82,243,243
2019-08-22,16,32,54.61971026062799,54.672580007316,106.79171046376402,107.49228047251803,50,50,0.71,283,283
2019-08-23,9,43,91.73598875880204,93.20381057858802,50.753300273422006,51.22131008149001,50,50,0.78,389,389
2019-08-26,35,17,69.76316075563999,68.901800127032,80.58700069904398,80.05839956283201,50,50,0.68,297,297
2019-08-27,8,43,86.30428598404201,86.90341092587,91.20443858146801,92.47246538281601,50,50,0.78,292,292
2019-08-28,28,8,64.807326793676,63.47699195385601,88.56271985591604,86.834879062772,50,50,0.84,290,290
2019-08-29,35,13,51.918000271322015,51.452599751958,82.02349976539001,81.14424994946202,50,50,0.88,303,303
2019-08-30,12,47,80.01151939868198,80.85640012979201,44.29524009705,45.234100246436,50,50,0.92,174,174
2019-09-03,37,13,60.97919921159,60.82380046368001,94.61655885219001,94.45891964435403,50,50,0.79,341,341
2019-09-04,35,18,79.63955621719802,78.50004994392395,61.38386114597601,60.26093224525199,50,50,0.78,400,400
2019-09-05,31,20,105.42736278056802,104.50133925437999,50.39639358759201,49.96918437838401,50,50,0.88,457,457
2019-09-06,22,21,84.683915429116,84.84148927448798,65.77060012341,65.627800109384,50,50,0.82,297,297
2019-09-09,32,18,69.25189839839801,69.252449393274,81.23387913704603,81.64567045688399,50,50,0.88,353,353
2019-09-10,28,18,92.58952752590001,92.45975156068198,105.96660102368,106.42480043649199,50,50,0.85,346,346
2019-09-11,39,19,84.36459967136399,83.907800846094,50.020933395624006,49.15466742158001,50,50,0.76,290,290
2019-09-12,27,20,96.19722976207598,95.98958018780002,57.64429760039796,57.36560526247142,50,49,0.8181818181818182,331,331
2019-09-13,11,28,81.021400234696,81.239239757066,57.24992521703402,57.03351722419601,50,50,0.88,295,295
2019-09-16,24,28,82.67544326603601,82.30970311939203,74.260910043718,74.108701577182,50,50,0.86,336,336
2019-09-17,38,27,54.67786664963201,54.21023296595,83.57164494513601,83.64011323929202,50,50,0.73,305,305
2019-09-18,21,23,56.637774186129995,56.34254593372201,74.42255708217398,74.266245594022,50,50,0.8,226,226
2019-09-19,17,30,77.65768994331398,77.87347457408403,86.25173666238399,86.08280581473397,50,50,0.9,218,218
2019-09-20,30,37,44.899445669063994,44.91722315371,114.78749931812001,115.57900000810803,50,50,0.87,183,183
2019-09-23,31,18,64.992062399386,65.06389353752002,56.72878652189198,56.585104162338,50,50,0.89,292,292
2019-09-24,18,44,37.798899765014006,38.318600325584,99.75924631834002,101.15868013143401,50,50,0.91,312,312
2019-09-25,37,15,48.25380030870601,47.65220022916601,107.35040132284003,106.41020616294001,50,50,0.85,268,268
2019-09-26,23,30,72.59636334253877,72.80570616770612,93.018201416728,93.40879900336198,49,50,0.8282828282828283,282,282
2019-09-27,17,30,63.38690597913877,64.21088173436938,95.36663848757804,96.600619046084,49,50,0.898989898989899,248,248
2019-09-30,33,25,115.67401222706002,115.417299666402,97.72483794689398,97.727113361356,50,50,0.91,274,274
2019-10-01,6,25,65.097799901966,66.39319998503,44.27100040912601,45.08735994101,50,50,0.86,392,392
2019-10-02,15,33,82.56859539150602,83.31023145318602,68.77854003906,69.279640150072,50,50,0.91,414,414
2019-10-03,42,17,89.598530263892,88.378831930168,61.696140242824015,61.28193992733001,50,50,0.9,369,369
2019-10-04,37,18,91.915686481004,91.30239404081802,75.08521450997,74.84605744362399,50,50,0.87,237,237
2019-10-07,17,38,80.74027886152601,81.092200170758,93.697455749516,94.62908516645604,50,50,0.87,285,285
2019-10-08,26,24,72.64556530713604,72.43257206201798,87.03135008276199,87.03315024256399,50,50,0.93,404,404
2019-10-09,22,22,71.48052437782198,71.58348441124001,82.48280065536798,82.42390062809199,50,50,0.93,283,283
2019-10-10,43,7,78.211582314964,76.548752279282,89.206799442764,87.49819946288798,50,50,0.77,331,331
2019-10-11,25,26,86.76639898061998,87.03099945783602,79.412399360542,79.509398933654,50,50,0.86,441,441
2019-10-14,30,12,72.56080035925,72.39459944486202,72.425006902214,71.92137882710001,50,50,0.89,251,251
2019-10-15,38,8,57.854521904588,57.48137306213,136.710869074464,134.986734290122,50,50,0.93,346,346
2019-10-16,32,16,80.34054771780801,80.173895870446,60.97316882371801,60.834682819845995,50,50,0.89,297,297
2019-10-17,21,29,77.95195161580999,78.55317577362199,139.648924419878,139.620217571254,50,50,0.8,337,337
2019-10-18,35,17,46.43920010328398,46.10999980688999,102.34950521886597,102.58379574835,50,50,0.93,312,312
2019-10-21,35,25,66.48697762966201,66.110704040528,143.61376456499403,143.48328390359197,50,50,0.92,464,464
2019-10-22,29,27,44.52313525676001,44.891204369068,80.195249571804,80.36730553150203,50,50,0.93,328,328
2019-10-23,31,13,46.771521310808,46.54981266499602,99.27270772689185,98.4001055378061,50,49,0.9494949494949495,469,469
2019-10-24,28,33,48.80180004835201,48.58459992408599,114.04071411848402,113.73699707031201,50,50,0.88,433,433
2019-10-25,34,8,90.57892726898001,89.71393654823599,106.39946262359604,104.42162629127601,50,50,0.88,397,397
2019-10-28,23,24,87.016470577416,86.62896488458001,77.57925852299003,77.41393366336398,50,50,0.91,456,456
2019-10-29,34,21,99.11211100339999,99.76875858902397,104.66544154167399,103.96810882568599,50,50,0.92,462,462
2019-10-30,23,27,48.670082278260026,48.66360084057,189.493724268672,189.432752424478,50,50,0.83,405,405
2019-10-31,27,26,102.80463866472196,102.75368332386,116.127456336022,116.23814190387998,50,50,0.89,391,391
2019-11-01,35,13,54.577048091886006,54.072185579540005,176.40939836978197,174.55400148391806,50,50,0.84,374,374
2019-11-04,29,21,80.12850023268999,80.182998614316,103.66300424575203,103.78094529152402,50,50,0.82,496,496
2019-11-05,25,24,55.847599982022004,56.222999390364,84.690509786606,85.07241030931002,50,50,0.9,544,544
2019-11-06,24,22,45.25396300554601,45.16459228992798,121.02288816451998,120.53442148804403,50,50,0.94,466,466
2019-11-07,21,33,55.91834013223601,56.528800729513996,67.205974268318,67.59716887414002,50,50,0.95,561,561
2019-11-08,27,29,96.21957430244,96.55925291597998,95.010930514334,95.08502101898199,50,50,0.86,374,374
2019-11-11,23,27,73.36999963283799,73.36500070929402,89.64459989070401,89.46020095706196,50,50,0.75,279,279
2019-11-12,18,32,61.758749050496,62.190100131630004,78.85582256793799,79.22790783523602,50,50,0.85,407,407
2019-11-13,27,26,107.223744535448,106.903179320102,41.33056611060601,41.33632446288999,50,50,0.82,367,367
2019-11-14,32,16,77.87899902223805,77.22815023422402,79.62579915880605,78.78719989300399,50,50,0.9,326,326
2019-11-15,19,16,51.20379985332398,51.42763985157201,107.993259418606,106.962119148374,50,50,0.8,334,334
2019-11-18,29,24,49.94964682936598,49.725287654402,125.68834900141002,125.74411563396401,50,50,0.78,353,353
2019-11-19,15,29,63.50641470479182,63.903154641995904,66.17969397136122,66.40479433292855,49,49,0.7653061224489796,343,343
2019-11-20,20,36,94.37418023944397,94.570331532954,108.519558527474,109.29192964315003,50,50,0.7,315,315
2019-11-21,25,21,92.55809828699385,92.70310576473264,78.79183425187998,78.873045427798,49,50,0.7676767676767676,291,291
2019-11-22,33,13,63.29111295819201,63.14089494586,81.29636654377,80.79585663080802,50,50,0.83,223,223
2019-11-25,34,19,75.778482873446,75.344372420312,53.52484024883002,53.058800529246,50,50,0.89,302,302
2019-11-26,23,18,67.157109571698,67.021656606194,58.446829635502006,58.118379866477994,50,50,0.8,317,317
2019-11-27,33,22,78.941642221208,79.08891759515201,94.462313289638,94.08097597718198,50,50,0.89,242,242
2019-11-29,27,29,58.38760025739201,58.662600536341984,67.67118536710801,68.06505347728799,50,50,0.8,198,198
2019-12-02,8,42,95.90968437552,97.64159559130603,126.96838134765198,129.22314350604594,50,50,0.92,298,298
2019-12-03,36,11,81.96655260906398,80.53542173833199,93.11944474206203,92.75541816681799,50,50,0.95,328,328
2019-12-04,34,19,63.118400024178,62.874199918516,55.595800054071994,55.055299992566006,50,50,0.9,281,281
2019-12-05,31,7,60.811873177284,60.47366843104198,87.70128784179401,86.93399251461202,50,50,0.87,270,270
2019-12-06,33,22,60.56002629339799,60.221523351672,137.27996507645,137.15453765868202,50,50,0.82,423,423
2019-12-09,20,33,100.182978873252,100.31920994997601,43.604085814346,43.85521577835198,50,50,0.88,258,258
2019-12-10,28,19,104.31659992218,103.691198890206,88.57611926794,88.034240334032,50,50,0.87,347,347
2019-12-11,24,26,82.20332981824201,82.08998709201998,105.836646784544,106.17312075913198,50,50,0.88,319,319
2019-12-12,35,12,95.7418518126,95.52034215450598,110.66266479849801,109.76681360960401,50,50,0.9,481,481
2019-12-13,34,24,73.749523391724,73.35896268606601,76.30532164335403,76.22081179500196,50,50,0.82,364,364
2019-12-16,26,21,88.917306332588,88.42102411747199,101.27535994052798,100.522391896246,50,50,0.92,388,388
2019-12-17,32,19,43.003600025172,42.90613361358,55.821747640076005,55.588387443422015,50,50,0.93,380,380
2019-12-18,29,21,86.16675504803597,86.02851928591404,96.76555477917599,96.65531960099801,50,50,0.78,377,377
2019-12-19,34,8,52.646986042265986,52.285435465578,139.30344509065802,138.360814058188,50,50,0.72,303,303
2019-12-20,33,13,96.23488348484199,96.17041369974798,96.52915937185202,96.21904535592199,50,50,0.87,393,393
2019-12-23,25,26,92.950074333846,93.00852214768395,74.47539999335402,74.83720005228997,50,50,0.77,284,284
2019-12-24,30,15,108.81384875893201,108.87829555629997,62.281249955598,62.00003963947002,50,50,0.72,127,127
2019-12-26,32,19,97.41888666511,96.54167617678401,108.28839915514197,107.485600221156,50,50,0.76,115,115
2019-12-27,19,31,126.81386798012448,127.50848228834087,99.55885177121225,100.10740329416332,49,49,0.8877551020408163,271,271
2019-12-30,10,40,58.61476786613599,59.10244628905799,53.82710626306326,54.174198290618385,50,49,0.8686868686868687,143,143
2019-12-31,44,7,111.857072484496,110.47097577452799,128.792272117142,127.42077573538195,50,50,0.87,108,108
2020-01-02,16,36,104.48418874620599,104.855097372534,120.73618897556602,121.62369756221604,50,50,0.89,238,238
2020-01-03,24,30,49.692855476136,49.71100419401999,108.900947507618,108.806363660096,50,50,0.7,281,281
2020-01-06,26,22,91.887398561226,90.58099992871597,141.13504979967198,140.01450019002397,50,50,0.78,295,295
2020-01-07,23,27,84.29631858587196,84.395315595862,97.32199287891797,97.8675554192,50,50,0.77,280,280
2020-01-08,34,14,91.51644744395398,90.69982378959402,47.26746148347,46.87360941171998,50,50,0.74,307,307
2020-01-09,29,20,75.313200825452,75.26959928273402,98.93300096393199,98.58199887990399,50,50,0.76,449,449
2020-01-10,19,32,90.66976060508999,91.207280820612,88.99079646586797,89.91201411247201,50,50,0.78,358,358
2020-01-13,15,30,79.31300018906602,79.46840006113,98.706996965408,98.69780284166399,50,50,0.87,319,319
2020-01-14,28,25,68.79663899898601,68.658667883876,164.46653318404995,164.79806733369804,50,50,0.84,279,279
2020-01-15,31,16,101.22173277455303,99.96106075997757,105.77536157442242,105.01147504242248,49,49,0.826530612244898,362,362
