,,,,,0.044%,-0.0069%,,,,,,,,0.09%,0.10%,,,,,,,,,,
DATE,long value,EARNING LONG,short value,EARNING SHORT,profit long,,,,DATE,long value,EARNING LONG,short value,EARNING SHORT,,,,,0,0,0,0,0,0,282,155
06 05 2019,1,0.996129027,1,0.989227178,-0.39%,0.010890139,,,06 05 2019,1,0.989156593,1,0.992149722,-1.08%,0.79%,,,,,,,,,,
07 05 2019,1,1.016850276,1,1.008110906,1.69%,-0.008045648,,,07 05 2019,1,1.00985006,1,1.008110382,0.99%,-0.80%,,,,,,,,,,
08 05 2019,1,0.987018163,1,0.985620728,-1.30%,0.014589052,,,08 05 2019,1,0.991785822,1,0.986386403,-0.82%,1.38%,,,,,,,,,,
09 05 2019,1,0.989123425,1,0.985088249,-1.09%,0.015137477,,,09 05 2019,1,0.984511562,1,0.972253265,-1.55%,2.85%,,,,,,,,,,
10 05 2019,1,1.004744303,1,0.988975814,0.47%,0.011147073,,,10 05 2019,1,1.003553547,1,0.996615286,0.36%,0.34%,,,,,,,,,,
13 05 2019,1,0.985295134,1,0.981418891,-1.47%,0.018932904,,,13 05 2019,1,0.983714285,1,0.989817738,-1.63%,1.03%,,,,,,,,,,
14 05 2019,1,0.996012072,1,0.989886532,-0.40%,0.010216795,,,14 05 2019,1,0.992831718,1,0.990883669,-0.72%,0.92%,,,,,,,,,,
15 05 2019,1,1.004999652,1,0.999104293,0.50%,0.00089651,,,15 05 2019,1,1.008146928,1,0.998929947,0.81%,0.11%,,,,,,,,,,
16 05 2019,1,1.026554217,1,1.015195976,2.66%,-0.014968514,,,16 05 2019,1,1.014908483,1,1.011634344,1.49%,-1.15%,,,,,,,,,,
17 05 2019,1,1.002991372,1,1.001086343,0.30%,-0.001085164,,,17 05 2019,1,0.997366907,1,0.995876367,-0.26%,0.41%,,,,,,,,,,
20 05 2019,1,0.992968204,1,0.975342013,-0.70%,0.025281375,,,20 05 2019,1,0.986486293,1,0.975418605,-1.35%,2.52%,,,,,,,,,,
21 05 2019,1,1.004578932,1,1.004141662,0.46%,-0.004124579,,,21 05 2019,1,1.002726863,1,1.007229235,0.27%,-0.72%,,,,,,,,,,
22 05 2019,1,1.003362812,1,0.99719747,0.34%,0.002810406,,,22 05 2019,1,0.998843844,1,1.002109976,-0.12%,-0.21%,,,,,,,,,,
23 05 2019,1,0.984886738,1,0.999269805,-1.51%,0.000730728,,,23 05 2019,1,0.982381083,1,0.996158239,-1.76%,0.39%,,,,,,,,,,
24 05 2019,1,1.003538966,1,0.997171132,0.35%,0.002836893,,,24 05 2019,1,0.999921675,1,0.996887899,-0.01%,0.31%,,,,,,,,,,
28 05 2019,1,1.002364644,1,1.00313029,0.24%,-0.003120521,,,28 05 2019,1,1.000039328,1,1.002328262,0.00%,-0.23%,,,,,,,,,,
29 05 2019,1,0.986219857,1,0.981227378,-1.38%,0.019131776,,,29 05 2019,1,0.983356118,1,0.98301243,-1.66%,1.73%,,,,,,,,,,
30 05 2019,1,1.004241918,1,0.999943289,0.42%,5.67145E-05,,,30 05 2019,1,1.002246375,1,1.000876519,0.22%,-0.09%,,,,,,,,,,
31 05 2019,1,0.979047333,1,0.987766835,-2.10%,0.012384669,,,31 05 2019,1,0.991265409,1,0.98808255,-0.87%,1.21%,,,,,,,,,,
03 06 2019,1,1.009376012,1,1.008994601,0.94%,-0.008914419,,,03 06 2019,1,1.00887379,1,1.006311854,0.89%,-0.63%,,,,,,,,,,
04 06 2019,1,0.999168428,1,1.007637068,-0.08%,-0.007579186,,,04 06 2019,1,0.965491974,1,1.010553329,-3.45%,-1.04%,,,,,,,,,,
05 06 2019,1,1.016426125,1,1.025461048,1.64%,-0.024828879,,,05 06 2019,1,1.017280633,1,1.02397774,1.73%,-2.34%,,,,,,,,,,
06 06 2019,1,0.996893707,1,1.005715615,-0.31%,-0.005683133,,,06 06 2019,1,0.999962474,1,0.992399534,0.00%,0.77%,,,,,,,,,,
07 06 2019,1,0.99686611,1,1.008411177,-0.31%,-0.008341019,,,07 06 2019,1,1.012244301,1,1.006160793,1.22%,-0.61%,,,,,,,,,,
10 06 2019,1,1.017550801,1,1.0142031,1.76%,-0.014004197,,,10 06 2019,1,1.012646522,1,1.018000669,1.26%,-1.77%,,,,,,,,,,
11 06 2019,1,1.003767359,1,1.013146811,0.38%,-0.012976215,,,11 06 2019,1,1.008777298,1,1.00558036,0.88%,-0.55%,,,,,,,,,,
12 06 2019,1,0.993668947,1,0.991899872,-0.63%,0.008166276,,,12 06 2019,1,0.980234687,1,0.991037833,-1.98%,0.90%,,,,,,,,,,
13 06 2019,1,1.007606893,1,1.006726984,0.76%,-0.006682034,,,13 06 2019,1,1.000934072,1,1.007937538,0.09%,-0.79%,,,,,,,,,,
14 06 2019,1,0.994032256,1,0.997797218,-0.60%,0.002207645,,,14 06 2019,1,0.989911034,1,0.987340465,-1.01%,1.28%,,,,,,,,,,
17 06 2019,1,0.999774852,1,0.99942488,-0.02%,0.00057545,,,17 06 2019,1,0.998906926,1,0.998500861,-0.11%,0.15%,,,,,,,,,,
18 06 2019,1,1.001933654,1,1.006094181,0.19%,-0.006057267,,,18 06 2019,1,1.004563173,1,1.006488143,0.46%,-0.64%,,,,,,,,,,
19 06 2019,1,0.999410424,1,1.001430469,-0.06%,-0.001428426,,,19 06 2019,1,1.010077746,1,1.001511147,1.01%,-0.15%,,,,,,,,,,
20 06 2019,1,1.009840613,1,1.019085811,0.98%,-0.018728365,,,20 06 2019,1,1.013722325,1,1.01749788,1.37%,-1.72%,,,,,,,,,,
21 06 2019,1,1.001744612,1,0.993236586,0.17%,0.006809469,,,21 06 2019,1,1.006864091,1,0.992620503,0.69%,0.74%,,,,,,,,,,
24 06 2019,1,0.995507438,1,0.995713452,-0.45%,0.004305001,,,24 06 2019,1,0.995460512,1,0.993684726,-0.45%,0.64%,,,,,,,,,,
25 06 2019,1,0.993585243,1,0.99610197,-0.64%,0.003913284,,,25 06 2019,1,0.993802324,1,0.993275237,-0.62%,0.68%,,,,,,,,,,
26 06 2019,1,0.998262281,1,0.987953677,-0.17%,0.012193206,,,26 06 2019,1,0.999237611,1,0.987450529,-0.08%,1.27%,,,,,,,,,,
27 06 2019,1,0.994640283,1,1.001643209,-0.54%,-0.001640513,,,27 06 2019,1,0.99457893,1,1.001343909,-0.54%,-0.13%,,,,,,,,,,
28 06 2019,1,1.0111491,1,1.011403895,1.11%,-0.011275312,,,28 06 2019,1,1.009578242,1,1.01435918,0.96%,-1.42%,,,,,,,,,,
