DATE,EARNING LONG,INVESTMENT LONG,EARNING SHORT,INVESTMENT SHORT,NUMBER LONG,NUMBER SHORT,TURNOVER %,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-07-31,9814.636891755554,10000.0,9877.121161670675,10000.0,50,50,0.86,524,524
2019-08-01,9995.566717627904,10000.0,9831.128763731213,10000.0,50,50,0.9,597,597
2019-08-02,9854.041877313828,10000.0,9751.94647081658,10000.000000000007,50,49,0.8080808080808081,461,461
2019-08-05,9950.968093551513,10000.0,9995.04748835306,10000.0,50,50,0.94,586,586
2019-08-06,10037.8262003498,10000.0,9969.749899581513,10000.0,50,50,0.96,436,436
2019-08-07,10199.931021612772,10000.0,10199.199278322792,10000.0,50,50,0.88,556,556
2019-08-08,10088.54119319353,10000.0,10047.11696584715,10000.0,50,50,0.95,478,478
2019-08-09,9953.456128872742,10000.0,9875.778016778868,10000.0,50,50,0.93,372,372
2019-08-12,9906.628714970084,10000.0,9842.847032953854,10000.0,50,50,0.86,382,382
2019-08-13,9978.134515037897,10000.0,9905.557211263742,10000.0,50,50,0.86,510,510
2019-08-14,9877.16978115324,10000.0,9824.425414387491,10000.0,50,50,0.67,476,476
2019-08-15,10039.75303202857,10000.0,10043.505344938814,10000.0,50,50,0.85,335,335
2019-08-16,10114.930168927347,10000.0,10290.86578319062,10000.0,50,50,0.97,349,349
2019-08-19,10015.478149775743,10000.0,10044.534011002104,10000.0,50,50,0.77,344,344
2019-08-20,9990.934161144982,10000.0,10059.150679064262,10000.0,50,50,0.92,239,239
2019-08-21,9979.053673662198,10000.0,10075.337516818016,10000.0,50,50,0.92,240,240
2019-08-22,9983.498535664225,10000.0,9833.652067183162,10000.0,50,50,0.81,285,285
2019-08-23,9802.696591468095,10000.0,9892.703868197448,10000.0,50,50,0.96,386,386
2019-08-26,10039.495971556615,10000.0,10064.48256539502,10000.0,50,50,0.98,285,285
2019-08-27,9865.87576669284,10000.0,9782.31891553236,10000.0,50,50,0.77,283,283
2019-08-28,10148.590523017483,10000.0,10265.02073575472,10000.0,50,50,0.81,279,279
2019-08-29,10085.510386798842,10000.0,10022.432514345588,10000.0,50,50,0.76,296,296
2019-08-30,9873.204202742128,10000.0,9887.246466511135,10000.0,50,50,0.71,190,190
2019-09-03,10095.499697203417,10000.0,10057.882834537111,10000.0,50,50,0.86,331,331
2019-09-04,10083.851915580988,10000.0,10068.75186922979,10000.0,50,50,0.92,400,400
2019-09-05,10049.00190219233,10000.0,10224.670602170063,10000.0,50,50,0.92,452,452
2019-09-06,9921.462405704053,10000.0,10162.11363368073,10000.0,50,50,0.98,294,294
2019-09-09,10202.498520284467,10000.0,10013.101463783312,10000.0,50,50,0.99,344,344
2019-09-10,10099.393582104867,10000.0,10098.400791293463,10000.0,50,50,0.95,345,345
2019-09-11,10237.852415671623,10000.0,10102.5906817327,10000.0,50,50,0.86,288,288
2019-09-12,9953.702272728917,10000.000000000007,9975.753291630994,10000.0,49,50,0.9393939393939394,329,329
