DATE,investment long,earning long,investment short,earning short,NUMBER LONG,NUMBER SHORT,TURNOVER %,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-07-09,10000.0,10147.116040723817,10000.0,10171.287358092952,47,41,0.0,106,106
2019-07-10,10000.0,9995.13360519689,9999.999999999998,9971.345340774986,47,47,0.0,176,176
2019-07-11,9999.999999999996,9985.792553333813,10000.000000000002,10016.930552187552,36,48,0.0,264,264
2019-07-12,10000.0,9885.109535477499,9999.999999999998,10066.161203484427,36,48,0.0,271,271
2019-07-15,9999.999999999998,9978.849285405304,9999.999999999998,9985.108874908812,32,47,0.0,280,280
2019-07-16,9999.999999999998,9939.344742744699,9999.999999999996,9844.856840013477,46,49,0.0,231,231
2019-07-17,10000.000000000002,9953.886025607311,9999.999999999998,10034.336825726377,32,48,0.0,214,214
2019-07-18,9999.999999999996,10071.705755162362,10000.000000000005,9918.179872931558,33,50,0.0,228,228
2019-07-19,10000.0,9919.059151541123,10000.000000000004,9952.311499672944,47,50,0.0,201,201
2019-07-22,10000.000000000002,10078.289687005254,10000.000000000002,10070.578058278992,44,49,0.0,287,287
2019-07-23,9999.999999999998,10040.667702721466,10000.0,10015.322932842584,37,41,0.0,213,213
2019-07-24,10000.0,10032.80052458144,9999.999999999996,10069.65232783722,33,47,0.0,217,217
2019-07-25,9999.999999999996,10272.062960157622,10000.0,9958.827290273417,46,46,0.0,270,270
2019-07-26,10000.0,10038.943399224692,9999.999999999996,10062.206215935414,39,43,0.0,409,409
2019-07-29,10000.0,9896.250580239841,9999.999999999998,9867.272443172677,34,49,0.0,410,410
2019-07-30,9999.999999999996,10008.618984358258,9999.999999999998,10004.78725420596,38,48,0.0,345,345
2019-07-31,9999.999999999998,9973.727225190245,10000.000000000005,9942.526436095954,36,46,0.0,438,438
2019-08-01,9999.999999999996,9925.223933959373,10000.000000000002,9764.400116720268,45,50,0.0,427,427
2019-08-02,10000.0,9736.100233054345,10000.000000000002,9879.906305287912,35,48,0.0,487,487
2019-08-05,9999.999999999998,9951.263476944932,10000.000000000002,10009.91569862894,32,48,0.0,595,595
2019-08-06,10000.000000000002,9966.172430846695,10000.00000000001,9934.802684953069,41,47,0.0,517,517
2019-08-07,10000.000000000002,10201.049902389912,9999.999999999998,10095.11936487884,34,46,0.0,500,500
2019-08-08,9999.999999999998,10046.202361555057,10000.000000000007,9933.880444742266,35,47,0.0,603,603
2019-08-09,10000.0,9898.154579822532,10000.000000000004,9935.348787568075,45,44,0.0,431,431
2019-08-12,9999.999999999998,9935.504338801751,10000.000000000002,9936.238374359113,36,48,0.0,578,578
2019-08-13,9999.999999999998,10035.034636042528,10000.000000000002,9974.028813003648,29,50,0.0,418,418
2019-08-14,10000.000000000004,9877.938087765011,9999.999999999996,10334.45547469815,46,44,0.0,349,349
2019-08-15,9999.999999999998,10004.64121436294,10000.000000000002,10036.043471418003,37,47,0.0,389,389
2019-08-16,10000.0,10206.245964172791,10000.000000000002,10096.21282655841,37,50,0.0,525,525
2019-08-19,10000.000000000002,10171.61064752507,10000.000000000002,10049.043937940478,33,48,0.0,383,383
2019-08-20,9999.999999999998,10039.443690514085,9999.999999999998,10027.483155389109,35,49,0.0,312,312
2019-08-21,10000.000000000002,9900.094244205555,9999.999999999998,10042.644686590833,33,48,0.0,344,344
2019-08-22,10000.0,9948.59387408255,10000.000000000002,9950.81498716567,46,46,0.0,353,353
2019-08-23,10000.000000000002,9905.649637347755,10000.000000000002,9839.771255673657,36,48,0.0,228,228
2019-08-26,10000.000000000002,10095.007502311062,10000.000000000011,10044.988411801061,46,48,0.0,244,244
