DATE,LONG CORRECT,SHORT CORRECT,EARNING LONG,EARNING SHORT,NUMBER LONG,NUMBER SHORT,TURNOVER %,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-03-19,8,29,-6.56495761890003,54.66847860830002,25,40,1.2615384615384615,236,99
2019-03-20,28,32,83.12999868419999,20.55003571529996,41,50,0.9340659340659341,213,106
2019-03-21,44,23,89.97990798929993,-14.830014944400014,50,46,0.6458333333333334,189,106
2019-03-24,5,50,-24.48083925239999,117.01844954519999,15,50,0.7692307692307693,178,51
2019-03-25,13,9,32.00502669809998,4.738700628199998,21,30,1.5098039215686274,221,111
2019-03-26,18,23,22.7501588465,1.637056111700005,32,50,1.0731707317073171,221,102
2019-03-27,23,35,15.438228606900045,109.55930948240005,39,50,0.8764044943820225,213,101
2019-03-28,27,19,16.729809999699974,-11.746737361100061,35,50,0.7647058823529411,197,76
2019-03-31,36,12,69.70368862130005,-3.1000016923999985,43,33,1.1973684210526316,284,179
2019-04-01,41,20,45.21698164920003,-17.662503362200024,50,50,0.79,215,90
2019-04-02,34,27,30.669701815200032,26.061002373799997,50,40,0.9777777777777777,204,105
2019-04-03,29,33,7.293548226499988,33.160178661400025,50,47,0.8969072164948454,206,93
2019-04-04,30,29,8.941987276499958,64.84570533009996,47,46,0.7526881720430108,159,73
2019-04-07,29,9,13.643996477000044,-3.5573143958000157,42,31,0.9863013698630136,194,75
2019-04-08,13,35,-4.849971771200012,44.359961509799994,23,50,1.1095890410958904,212,100
2019-04-09,20,35,10.22002315519997,17.559975147400003,39,50,0.9438202247191011,197,89
2019-04-10,29,26,25.043138861499965,1.320103526299965,38,50,0.7613636363636364,205,86
2019-04-11,21,28,20.149986743900012,29.494754970000045,26,50,1.1578947368421053,191,105
2019-04-14,31,29,4.557865142700016,49.01150703469993,50,50,0.88,193,94
2019-04-15,24,23,47.386703014999945,16.454868138000055,47,47,1.0,257,147
2019-04-16,36,27,51.2831925745,85.86328029669997,50,50,0.86,312,182
2019-04-17,25,45,21.42499279959999,118.47287702540005,46,50,0.78125,233,106
2019-04-21,15,33,-6.153116702999939,36.34089803690001,38,50,1.0,262,104
